id,latitude,longitude
772,-32.0,31.0
773,-32.0,31.5
774,-32.0,32.0
775,-32.0,32.5
776,-32.0,33.0
777,-32.5,15.0
778,-32.5,15.5
779,-32.5,16.0
780,-32.5,16.5
781,-32.5,17.0
782,-32.5,17.5
783,-32.5,18.0
784,-32.5,18.5
785,-32.5,19.0
786,-32.5,19.5
787,-32.5,20.0
788,-32.5,20.5
789,-32.5,21.0
790,-32.5,21.5
791,-32.5,22.0
792,-32.5,22.5
793,-32.5,23.0
794,-32.5,23.5
795,-32.5,24.0
796,-32.5,24.5
797,-32.5,25.0
798,-32.5,25.5
799,-32.5,26.0
800,-32.5,26.5
801,-32.5,27.0
802,-32.5,27.5
803,-32.5,28.0
804,-32.5,28.5
805,-32.5,29.0
806,-32.5,29.5
807,-32.5,30.0
808,-32.5,30.5
809,-32.5,31.0
810,-32.5,31.5
811,-32.5,32.0
812,-32.5,32.5
813,-32.5,33.0
814,-33.0,15.0
815,-33.0,15.5
816,-33.0,16.0
817,-33.0,16.5
818,-33.0,17.0
819,-33.0,17.5
820,-33.0,18.0
821,-33.0,18.5
822,-33.0,19.0
823,-33.0,19.5
824,-33.0,20.0
825,-33.0,20.5
826,-33.0,21.0
827,-33.0,21.5
828,-33.0,22.0
829,-33.0,22.5
830,-33.0,23.0
831,-33.0,23.5
832,-33.0,24.0
833,-33.0,24.5
834,-33.0,25.0
835,-33.0,25.5
836,-33.0,26.0
837,-33.0,26.5
838,-33.0,27.0
839,-33.0,27.5
840,-33.0,28.0
841,-33.0,28.5
842,-33.0,29.0
843,-33.0,29.5
844,-33.0,30.0
845,-33.0,30.5
846,-33.0,31.0
847,-33.0,31.5
848,-33.0,32.0
849,-33.0,32.5
850,-33.0,33.0
851,-33.5,15.0
852,-33.5,15.5
853,-33.5,16.0
854,-33.5,16.5
855,-33.5,17.0
856,-33.5,17.5
857,-33.5,18.0
858,-33.5,18.5
859,-33.5,19.0
860,-33.5,19.5
861,-33.5,20.0
862,-33.5,20.5
863,-33.5,21.0
864,-33.5,21.5
865,-33.5,22.0
866,-33.5,22.5
867,-33.5,23.0
868,-33.5,23.5
869,-33.5,24.0
870,-33.5,24.5
871,-33.5,25.0
872,-33.5,25.5
873,-33.5,26.0
874,-33.5,26.5
875,-33.5,27.0
876,-33.5,27.5
877,-33.5,28.0
878,-33.5,28.5
879,-33.5,29.0
880,-33.5,29.5
881,-33.5,30.0
882,-33.5,30.5
883,-33.5,31.0
884,-33.5,31.5
885,-33.5,32.0
886,-33.5,32.5
887,-33.5,33.0
888,-34.0,15.0
889,-34.0,15.5
890,-34.0,16.0
891,-34.0,16.5
892,-34.0,17.0
893,-34.0,17.5
894,-34.0,18.0
895,-34.0,18.5
896,-34.0,19.0
897,-34.0,19.5
898,-34.0,20.0
899,-34.0,20.5
900,-34.0,21.0
901,-34.0,21.5
902,-34.0,22.0
903,-34.0,22.5
904,-34.0,23.0
905,-34.0,23.5
906,-34.0,24.0
907,-34.0,24.5
908,-34.0,25.0
909,-34.0,25.5
910,-34.0,26.0
911,-34.0,26.5
912,-34.0,27.0
913,-34.0,27.5
914,-34.0,28.0
915,-34.0,28.5
916,-34.0,29.0
917,-34.0,29.5
918,-34.0,30.0
919,-34.0,30.5
920,-34.0,31.0
921,-34.0,31.5
922,-34.0,32.0
923,-34.0,32.5
924,-34.0,33.0
925,-34.5,15.0
926,-34.5,15.5
927,-34.5,16.0
