Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658/run.log
2026-08-14 03:07: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658
2026-08-14 03:13: Train Epoch 6: 700/821 Loss: 1.913701
2026-08-14 03:13: Train Epoch 6: 720/821 Loss: 1.935824
2026-08-14 03:13: Train Epoch 6: 740/821 Loss: 2.017015
2026-08-14 03:13: Train Epoch 6: 760/821 Loss: 2.049206
2026-08-14 03:13: Train Epoch 6: 780/821 Loss: 1.886169
2026-08-14 03:13: Train Epoch 6: 800/821 Loss: 1.861112
2026-08-14 03:13: Train Epoch 6: 820/821 Loss: 1.897685
2026-08-14 03:13: **********Train Epoch 6: averaged Loss: 1.999048, tf_ratio: 1.000000
2026-08-14 03:13: **********Val Epoch 6: average Loss: 1.963980
2026-08-14 03:13: *********************************Current best model saved!
2026-08-14 03:13: Train Epoch 7: 0/821 Loss: 1.850129
2026-08-14 03:13: Train Epoch 7: 20/821 Loss: 1.984921
2026-08-14 03:13: Train Epoch 7: 40/821 Loss: 2.011487
2026-08-14 03:13: Train Epoch 7: 60/821 Loss: 2.097358
2026-08-14 03:13: Train Epoch 7: 80/821 Loss: 1.921279
2026-08-14 03:13: Train Epoch 7: 100/821 Loss: 2.060234
2026-08-14 03:13: Train Epoch 7: 120/821 Loss: 1.951649
2026-08-14 03:13: Train Epoch 7: 140/821 Loss: 1.944406
2026-08-14 03:13: Train Epoch 7: 160/821 Loss: 2.094423
2026-08-14 03:13: Train Epoch 7: 180/821 Loss: 1.926063
2026-08-14 03:13: Train Epoch 7: 200/821 Loss: 1.946955
2026-08-14 03:13: Train Epoch 7: 220/821 Loss: 2.089386
2026-08-14 03:13: Train Epoch 7: 240/821 Loss: 2.055573
2026-08-14 03:13: Train Epoch 7: 260/821 Loss: 1.927099
2026-08-14 03:13: Train Epoch 7: 280/821 Loss: 1.929200
2026-08-14 03:13: Train Epoch 7: 300/821 Loss: 1.884016
2026-08-14 03:13: Train Epoch 7: 320/821 Loss: 1.984415
2026-08-14 03:13: Train Epoch 7: 340/821 Loss: 1.982009
2026-08-14 03:13: Train Epoch 7: 360/821 Loss: 2.039418
2026-08-14 03:13: Train Epoch 7: 380/821 Loss: 2.046171
2026-08-14 03:13: Train Epoch 7: 400/821 Loss: 2.010798
2026-08-14 03:13: Train Epoch 7: 420/821 Loss: 1.918455
2026-08-14 03:13: Train Epoch 7: 440/821 Loss: 1.944598
2026-08-14 03:13: Train Epoch 7: 460/821 Loss: 2.062982
2026-08-14 03:14: Train Epoch 7: 480/821 Loss: 1.943579
2026-08-14 03:14: Train Epoch 7: 500/821 Loss: 1.979325
2026-08-14 03:14: Train Epoch 7: 520/821 Loss: 1.983100
2026-08-14 03:14: Train Epoch 7: 540/821 Loss: 1.889358
2026-08-14 03:14: Train Epoch 7: 560/821 Loss: 1.973253
2026-08-14 03:14: Train Epoch 7: 580/821 Loss: 1.959636
2026-08-14 03:14: Train Epoch 7: 600/821 Loss: 1.830158
2026-08-14 03:14: Train Epoch 7: 620/821 Loss: 1.873624
2026-08-14 03:14: Train Epoch 7: 640/821 Loss: 1.928729
2026-08-14 03:14: Train Epoch 7: 660/821 Loss: 2.010829
2026-08-14 03:14: Train Epoch 7: 680/821 Loss: 1.971840
2026-08-14 03:14: Train Epoch 7: 700/821 Loss: 1.968416
2026-08-14 03:14: Train Epoch 7: 720/821 Loss: 1.980764
2026-08-14 03:14: Train Epoch 7: 740/821 Loss: 1.927088
2026-08-14 03:14: Train Epoch 7: 760/821 Loss: 1.970668
2026-08-14 03:14: Train Epoch 7: 780/821 Loss: 1.942883
2026-08-14 03:14: Train Epoch 7: 800/821 Loss: 2.041283
2026-08-14 03:14: Train Epoch 7: 820/821 Loss: 1.872670
2026-08-14 03:14: **********Train Epoch 7: averaged Loss: 1.967086, tf_ratio: 1.000000
2026-08-14 03:14: **********Val Epoch 7: average Loss: 1.927407
2026-08-14 03:14: *********************************Current best model saved!
2026-08-14 03:14: Train Epoch 8: 0/821 Loss: 1.939527
2026-08-14 03:14: Train Epoch 8: 20/821 Loss: 1.932775
2026-08-14 03:14: Train Epoch 8: 40/821 Loss: 1.890917
2026-08-14 03:14: Train Epoch 8: 60/821 Loss: 1.869686
2026-08-14 03:14: Train Epoch 8: 80/821 Loss: 1.940530
2026-08-14 03:14: Train Epoch 8: 100/821 Loss: 2.008605
2026-08-14 03:14: Train Epoch 8: 120/821 Loss: 1.947523
2026-08-14 03:14: Train Epoch 8: 140/821 Loss: 1.936065
2026-08-14 03:14: Train Epoch 8: 160/821 Loss: 2.019577
2026-08-14 03:14: Train Epoch 8: 180/821 Loss: 1.959245
2026-08-14 03:14: Train Epoch 8: 200/821 Loss: 1.808443
2026-08-14 03:14: Train Epoch 8: 220/821 Loss: 1.805799
2026-08-14 03:14: Train Epoch 8: 240/821 Loss: 1.968709
2026-08-14 03:14: Train Epoch 8: 260/821 Loss: 1.819066
2026-08-14 03:14: Train Epoch 8: 280/821 Loss: 1.947487
2026-08-14 03:14: Train Epoch 8: 300/821 Loss: 1.931080
2026-08-14 03:14: Train Epoch 8: 320/821 Loss: 1.894908
2026-08-14 03:14: Train Epoch 8: 340/821 Loss: 1.972869
2026-08-14 03:14: Train Epoch 8: 360/821 Loss: 1.822190
2026-08-14 03:14: Train Epoch 8: 380/821 Loss: 1.966795
2026-08-14 03:14: Train Epoch 8: 400/821 Loss: 1.839680
2026-08-14 03:14: Train Epoch 8: 420/821 Loss: 1.945548
2026-08-14 03:15: Train Epoch 8: 440/821 Loss: 1.991957
2026-08-14 03:15: Train Epoch 8: 460/821 Loss: 2.006196
2026-08-14 03:15: Train Epoch 8: 480/821 Loss: 2.014071
2026-08-14 03:15: Train Epoch 8: 500/821 Loss: 1.963656
2026-08-14 03:15: Train Epoch 8: 520/821 Loss: 1.942949
2026-08-14 03:15: Train Epoch 8: 540/821 Loss: 1.937020
2026-08-14 03:15: Train Epoch 8: 560/821 Loss: 1.910522
2026-08-14 03:15: Train Epoch 8: 580/821 Loss: 2.007869
2026-08-14 03:15: Train Epoch 8: 600/821 Loss: 1.853300
2026-08-14 03:15: Train Epoch 8: 620/821 Loss: 1.976179
2026-08-14 03:15: Train Epoch 8: 640/821 Loss: 2.005944
2026-08-14 03:15: Train Epoch 8: 660/821 Loss: 1.983068
2026-08-14 03:15: Train Epoch 8: 680/821 Loss: 1.942739
2026-08-14 03:15: Train Epoch 8: 700/821 Loss: 1.934012
2026-08-14 03:15: Train Epoch 8: 720/821 Loss: 1.936015
2026-08-14 03:15: Train Epoch 8: 740/821 Loss: 1.861034
2026-08-14 03:15: Train Epoch 8: 760/821 Loss: 1.901005
2026-08-14 03:15: Train Epoch 8: 780/821 Loss: 1.969996
2026-08-14 03:15: Train Epoch 8: 800/821 Loss: 1.870792
2026-08-14 03:15: Train Epoch 8: 820/821 Loss: 2.002631
2026-08-14 03:15: **********Train Epoch 8: averaged Loss: 1.935958, tf_ratio: 1.000000
2026-08-14 03:15: **********Val Epoch 8: average Loss: 1.930544
2026-08-14 03:15: Train Epoch 9: 0/821 Loss: 2.042205
2026-08-14 03:15: Train Epoch 9: 20/821 Loss: 1.877549
2026-08-14 03:15: Train Epoch 9: 40/821 Loss: 1.903347
2026-08-14 03:15: Train Epoch 9: 60/821 Loss: 1.976595
2026-08-14 03:15: Train Epoch 9: 80/821 Loss: 1.986760
2026-08-14 03:15: Train Epoch 9: 100/821 Loss: 1.848853
2026-08-14 03:15: Train Epoch 9: 120/821 Loss: 2.061430
2026-08-14 03:15: Train Epoch 9: 140/821 Loss: 1.922478
2026-08-14 03:15: Train Epoch 9: 160/821 Loss: 1.889798
2026-08-14 03:15: Train Epoch 9: 180/821 Loss: 2.027579
2026-08-14 03:15: Train Epoch 9: 200/821 Loss: 1.955988
2026-08-14 03:15: Train Epoch 9: 220/821 Loss: 1.983526
2026-08-14 03:15: Train Epoch 9: 240/821 Loss: 1.915072
2026-08-14 03:15: Train Epoch 9: 260/821 Loss: 1.873863
2026-08-14 03:15: Train Epoch 9: 280/821 Loss: 1.960942
2026-08-14 03:15: Train Epoch 9: 300/821 Loss: 1.860078
2026-08-14 03:15: Train Epoch 9: 320/821 Loss: 1.908610
2026-08-14 03:15: Train Epoch 9: 340/821 Loss: 1.890588
2026-08-14 03:15: Train Epoch 9: 360/821 Loss: 1.992476
2026-08-14 03:15: Train Epoch 9: 380/821 Loss: 1.848429
2026-08-14 03:16: Train Epoch 9: 400/821 Loss: 1.916913
2026-08-14 03:16: Train Epoch 9: 420/821 Loss: 1.912050
